0;Labels
Cucurbita;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 French-language sources (fr)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Portuguese-language sources (pt)', 'Category:CS1 Spanish-language sources (es)', 'Category:Crops originating from indigenous Americans', 'Category:Cucurbita', 'Category:Cucurbitaceae genera', 'Category:Early agriculture in Mesoamerica', 'Category:Featured articles', 'Category:Native American cuisine', 'Category:Pages containing links to subscription-only content', 'Category:Portal templates with all redlinked portals', 'Category:Squashes and pumpkins', 'Category:Wikipedia articles with GND identifiers']"
Cutthroat trout;"[""Category:Articles with 'species' microformats"", 'Category:Cold water fish', 'Category:Commons category link is on Wikidata', 'Category:Fauna of California', 'Category:Fauna of the Northwestern United States', 'Category:Fauna of the Rocky Mountains', 'Category:Fauna of the Sierra Nevada (U.S.)', 'Category:Fauna of the Southwestern United States', 'Category:Featured articles', 'Category:Fish described in 1836', 'Category:Fish of Canada', 'Category:Fish of the Pacific Ocean', 'Category:Fish of the Western United States', 'Category:Freshwater fish of North America', 'Category:Freshwater fish of the United States', 'Category:Oncorhynchus', 'Category:Symbols of Wyoming']"
Durian;"['Category:Articles containing Thai-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with hAudio microformats', 'Category:CS1 Thai-language sources (th)', 'Category:Durio', 'Category:Featured articles', 'Category:Fruits originating in Asia', 'Category:Helicteroideae', 'Category:Medicinal plants of Asia', 'Category:Non-timber forest products', 'Category:Spoken articles', 'Category:Taxa named by Carl Linnaeus', 'Category:Tropical agriculture', 'Category:Tropical fruit', 'Category:Wikipedia articles with LCCN identifiers']"
Eliza Acton;['Category:1799 births', 'Category:1859 deaths', 'Category:19th-century English poets', 'Category:19th-century women writers', 'Category:Articles with short description', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:English chefs', 'Category:English food writers', 'Category:English women poets', 'Category:Featured articles', 'Category:Pages containing links to subscription-only content', 'Category:People from Battle, East Sussex', 'Category:People from Hampstead', 'Category:People from Ipswich', 'Category:Use British English from October 2016', 'Category:Use dmy dates from October 2016', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia articles with SNAC-ID identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:Women cookbook writers', 'Category:Women food writers', 'Category:Women of the Victorian era']
Elizabeth David;['Category:1913 births', 'Category:1992 deaths', 'Category:20th-century British non-fiction writers', 'Category:20th-century British women writers', 'Category:Articles containing Italian-language text', 'Category:CS1 maint: others', 'Category:College of Sorbonne alumni', 'Category:Commanders of the Order of the British Empire', 'Category:Commons category link is on Wikidata', 'Category:English chefs', 'Category:English food writers', 'Category:Featured articles', 'Category:Fellows of the Royal Society of Literature', 'Category:Knights of the Order of Agricultural Merit', 'Category:Pages containing links to subscription-only content', 'Category:People from Chelsea, London', 'Category:People from Wealden (district)', 'Category:Use dmy dates from July 2013', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with SELIBR identifiers', 'Category:Wikipedia articles with SNAC-ID identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:Women cookbook writers', 'Category:Women food writers']
Everything Tastes Better with Bacon;['Category:2002 non-fiction books', 'Category:American cookbooks', 'Category:American women non-fiction writers', 'Category:Books about bacon', 'Category:CS1 French-language sources (fr)', 'Category:Commons category link is on Wikidata', 'Category:Featured articles']
Freedom from Want (painting);['Category:1943 paintings', 'Category:Articles with short description', 'Category:Commons category link is on Wikidata', 'Category:Featured articles', 'Category:Food and drink paintings', 'Category:Four Freedoms', 'Category:Paintings by Norman Rockwell', 'Category:Thanksgiving (United States)', 'Category:Use mdy dates from August 2016', 'Category:Works originally published in The Saturday Evening Post', 'Category:World War II and the media']
George Washington (inventor);['Category:1871 births', 'Category:1946 deaths', 'Category:American inventors', 'Category:Articles with hCards', 'Category:Belgian emigrants to the United States', 'Category:Belgian people of English descent', 'Category:Businesspeople in coffee', 'Category:Businesspeople in the drink industry', 'Category:Commons category link from Wikidata', 'Category:Featured articles', 'Category:Military food of Canada', 'Category:Military food of the United States', 'Category:People from Bellport, New York', 'Category:People from Kortrijk', 'Category:People from Park Slope', 'Category:University of Bonn alumni', 'Category:Webarchive template wayback links']
Grasshopper;"[""Category:Articles with 'species' microformats"", 'Category:Articles with hAudio microformats', 'Category:Articles with short description', 'Category:Biomechanics', 'Category:CS1 Indonesian-language sources (id)', 'Category:CS1 maint: Multiple names: authors list', 'Category:Caelifera', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Extant Triassic first appearances', 'Category:Featured articles', 'Category:Herbivorous insects', 'Category:Insect common names', 'Category:Insects in culture', 'Category:Portal templates with all redlinked portals', 'Category:Use British English from May 2015', 'Category:Use dmy dates from July 2018', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with LCCN identifiers']"
Guinea pig;"['Category:Animal models', 'Category:Articles containing Latin-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with hAudio microformats', 'Category:Articles with short description', 'Category:Bolivian cuisine', 'Category:CS1 Spanish-language sources (es)', 'Category:Cavies', 'Category:Commons category link is on Wikidata', 'Category:Domesticated animals', 'Category:Ecuadorian cuisine', 'Category:Extant Pleistocene first appearances', 'Category:Fauna of the Andes', 'Category:Featured articles', 'Category:Guinea pigs', 'Category:Mammals described in 1758', 'Category:Mammals of Bolivia', 'Category:Mammals of Colombia', 'Category:Mammals of Peru', 'Category:Meat by animal', 'Category:Peruvian cuisine', 'Category:Pleistocene rodents', 'Category:Quaternary mammals of South America', 'Category:Rodents of South America', 'Category:Taxa named by Carl Linnaeus', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NARA identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia indefinitely move-protected pages', 'Category:Wikipedia indefinitely semi-protected pages']"
Gumbo;['Category:American rice dishes', 'Category:American soups', 'Category:American stews', 'Category:Articles containing French-language text', 'Category:Cajun cuisine', 'Category:Cuisine of New Orleans', 'Category:Cuisine of the Southern United States', 'Category:Culinary dishes', 'Category:Featured articles', 'Category:Louisiana cuisine', 'Category:Wikipedia articles with LCCN identifiers']
Hannah Glasse;['Category:1708 births', 'Category:1770 deaths', 'Category:18th-century women writers', 'Category:Articles with LibriVox links', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:English food writers', 'Category:English non-fiction writers', 'Category:Featured articles', 'Category:People from Hexham', 'Category:People imprisoned for debt', 'Category:Place of death missing', 'Category:Prisoners in Fleet Prison', 'Category:Prisoners in Marshalsea', 'Category:Use British English from May 2019', 'Category:Use dmy dates from May 2019', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with NLA identifiers', 'Category:Wikipedia articles with SELIBR identifiers', 'Category:Wikipedia articles with SNAC-ID identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:Women cookbook writers', 'Category:Writers from London']
History of saffron;['Category:Articles containing Latin-language text', 'Category:Articles with Project Gutenberg links', 'Category:Featured articles', 'Category:History of food and drink', 'Category:Saffron', 'Category:Use dmy dates from March 2013']
Hydnum repandum;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Slovenian-language sources (sl)', 'Category:Cantharellales', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1753', 'Category:Fungi of Asia', 'Category:Fungi of Australia', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Hydnum', 'Category:Taxa named by Carl Linnaeus']"
Imleria badia;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Boletaceae', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 Dutch-language sources (nl)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Latin-language sources (la)', 'Category:Commons category link is locally defined', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1818', 'Category:Fungi of Asia', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Taxa named by Elias Magnus Fries', 'Category:Taxonbars with automatically added basionyms', 'Category:Use British English from March 2013']"
Isabella Beeton;['Category:1836 births', 'Category:1865 deaths', 'Category:19th-century British women writers', 'Category:19th-century English writers', 'Category:19th-century journalists', 'Category:Articles with Internet Archive links', 'Category:Articles with LibriVox links', 'Category:Articles with Project Gutenberg links', 'Category:Burials at West Norwood Cemetery', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Deaths in childbirth', 'Category:English businesspeople', 'Category:English food writers', 'Category:English women journalists', 'Category:EngvarB from October 2013', 'Category:Featured articles', 'Category:Pages containing links to subscription-only content', 'Category:People from the City of London', 'Category:Use dmy dates from August 2017', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia articles with NLA identifiers', 'Category:Wikipedia articles with SELIBR identifiers', 'Category:Wikipedia articles with SNAC-ID identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:Women cookbook writers', 'Category:Women food writers', 'Category:Women of the Victorian era', 'Category:Writers from London']
Ketogenic diet;['Category:Articles with Curlie links', 'Category:Articles with short description', 'Category:Diets', 'Category:Epilepsy', 'Category:Featured articles', 'Category:High-fat diets', 'Category:Low-carbohydrate diets', 'Category:Use dmy dates from March 2013']
La Stazione;['Category:1870 establishments in New York (state)', 'Category:1958 disestablishments in New York (state)', 'Category:1999 establishments in New York (state)', 'Category:Buildings and structures in Ulster County, New York', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Commons category link is on Wikidata', 'Category:Coordinates on Wikidata', 'Category:Featured articles', 'Category:Italian restaurants', 'Category:New Paltz, New York', 'Category:Railway stations closed in 1958', 'Category:Railway stations opened in 1870', 'Category:Restaurants established in 1999', 'Category:Wallkill Valley Railroad']
Lactarius indigo;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Spanish-language sources (es)', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1822', 'Category:Fungi of Asia', 'Category:Fungi of Central America', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Lactarius', 'Category:Taxonbars with automatically added basionyms', 'Category:Wikipedia indefinitely move-protected pages']"
Lactifluus volemus;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 Arabic-language sources (ar)', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Korean-language sources (ko)', 'Category:CS1 Latin-language sources (la)', 'Category:Commons category link is on Wikidata', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1753', 'Category:Fungi of Asia', 'Category:Fungi of Central America', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Lactarius', 'Category:Taxa named by Elias Magnus Fries', 'Category:Taxonbars with automatically added basionyms']"
Lettuce;"['Category:All articles with dead external links', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Latin-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with dead external links from October 2017', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:CS1: long volume value', 'Category:Cichorieae', 'Category:Crops', 'Category:Crops originating from Egypt', 'Category:Edible Asteraceae', 'Category:Featured articles', 'Category:Leaf vegetables', 'Category:Lettuce', 'Category:Plants described in 1753', 'Category:Taxonbars with 25–29 taxon IDs', 'Category:Use dmy dates from January 2011', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia pages semi-protected against vandalism']"
Lisa the Vegetarian;['Category:1995 American television episodes', 'Category:Articles with short description', 'Category:Featured articles', 'Category:Linda McCartney', 'Category:Pages containing links to subscription-only content', 'Category:Paul McCartney', 'Category:Television episode articles with short description for single episodes', 'Category:Television episodes written by David X. Cohen', 'Category:The Simpsons (season 7) episodes', 'Category:Use mdy dates from May 2018', 'Category:Vegetarian-related media', 'Category:Vegetarianism in the United States']
Malagasy cuisine;['Category:African cuisine', 'Category:CS1 French-language sources (fr)', 'Category:Commons category link is on Wikidata', 'Category:Featured articles', 'Category:Malagasy cuisine', 'Category:Malagasy culture', 'Category:Use mdy dates from October 2011', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with SUDOC identifiers']
Maple syrup;['Category:American cuisine', 'Category:Articles containing video clips', 'Category:CS1 French-language sources (fr)', 'Category:CS1 maint: Uses authors parameter', 'Category:CS1: long volume value', 'Category:Canadian cuisine', 'Category:Cuisine of New York (state)', 'Category:Featured articles', 'Category:Food made from maple', 'Category:Forestry in Canada', 'Category:Forestry in the United States', 'Category:Indigenous cuisine in Canada', 'Category:New England cuisine', 'Category:Non-timber forest products', 'Category:Syrup', 'Category:Tree tapping', 'Category:Use dmy dates from August 2014', 'Category:Wikipedia pending changes protected pages']
Maraba coffee;['Category:Agriculture in Rwanda', 'Category:Alternative trading organizations', 'Category:Articles containing French-language text', 'Category:Articles containing Kinyarwanda-language text', 'Category:Coffee brands', 'Category:Featured articles', 'Category:Webarchive template wayback links']
Medieval cuisine;['Category:Articles with French-language external links', 'Category:Commons category link is on Wikidata', 'Category:Featured articles', 'Category:Medieval cuisine']
Odwalla;['Category:1980 establishments in California', 'Category:2001 mergers and acquisitions', 'Category:Coca-Cola acquisitions', 'Category:Coca-Cola brands', 'Category:Companies based in San Mateo County, California', 'Category:Drink companies based in California', 'Category:Featured articles', 'Category:Food and drink companies established in 1980', 'Category:Food recalls', 'Category:Half Moon Bay, California', 'Category:Juice brands']
Ordinaire (wine bar);['Category:2013 establishments in California', 'Category:California wine', 'Category:Coordinates not on Wikidata', 'Category:Culture of Oakland, California', 'Category:Drinking establishments in the San Francisco Bay Area', 'Category:Good articles', 'Category:Organic food', 'Category:Restaurants established in 2013', 'Category:Restaurants in the San Francisco Bay Area', 'Category:Tourist attractions in Oakland, California', 'Category:Wine bars']
Phallus indusiatus;"['Category:All articles with dead external links', 'Category:Articles containing Ancient Greek-language text', 'Category:Articles containing Japanese-language text', 'Category:Articles containing simplified Chinese-language text', 'Category:Articles containing traditional Chinese-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with dead external links from December 2018', 'Category:Articles with dead external links from September 2017', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Spanish-language sources (es)', 'Category:CS1 uses Chinese-language script (zh)', 'Category:Chinese edible mushrooms', 'Category:Commons category link is on Wikidata', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1798', 'Category:Fungi of Africa', 'Category:Fungi of Asia', 'Category:Fungi of Australia', 'Category:Fungi of Central America', 'Category:Fungi of Mexico', 'Category:Fungi of Oceania', 'Category:Fungi of South America', 'Category:Medicinal fungi', 'Category:Phallales']"
Pisco sour;['Category:American inventions', 'Category:Articles with hRecipes', 'Category:Articles with short description', 'Category:CS1 Spanish-language sources (es)', 'Category:CS1 maint: Extra text: authors list', 'Category:Cocktails with bitters', 'Category:Cocktails with brandy', 'Category:Commons category link is on Wikidata', 'Category:Featured articles', 'Category:Peruvian alcoholic drinks', 'Category:Pisco', 'Category:Sour cocktails']
Rainbow trout;"['Category:Articles containing Latin-language text', ""Category:Articles with 'species' microformats"", 'Category:CS1 errors: deprecated parameters', 'Category:CS1 maint: Multiple names: authors list', 'Category:Cold water fish', 'Category:Commercial fish', 'Category:Commons category link is on Wikidata', 'Category:Fauna of the Rocky Mountains', 'Category:Fauna of the Sierra Nevada (U.S.)', 'Category:Featured articles', 'Category:Fish described in 1792', 'Category:Fish of Canada', 'Category:Fish of the Pacific Ocean', 'Category:Fish of the Western United States', 'Category:Freshwater fish of Asia', 'Category:Freshwater fish of North America', 'Category:Freshwater fish of the United States', 'Category:IUCN Red List least concern species', 'Category:Oncorhynchus', 'Category:Pages containing links to subscription-only content', 'Category:Taxa named by Johann Julius Walbaum', 'Category:Taxonbars with 20–24 taxon IDs', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia pending changes protected pages']"
Ramaria botrytis;"['Category:Articles containing Ancient Greek-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 Dutch-language sources (nl)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Japanese-language sources (ja)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Russian-language sources (ru)', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1797', 'Category:Fungi found in fairy rings', 'Category:Fungi of Asia', 'Category:Fungi of Australia', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Gomphaceae', 'Category:Snowbank fungi', 'Category:Taxa named by Christiaan Hendrik Persoon', 'Category:Wikipedia articles with NDL identifiers']"
Russula virescens;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 Bulgarian-language sources (bg)', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Swedish-language sources (sv)', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1774', 'Category:Fungi of Africa', 'Category:Fungi of Asia', 'Category:Fungi of Central America', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Pages incorrectly using the quote template', 'Category:Russula']"
Sci-Fi Dine-In Theater Restaurant;"['Category:1991 establishments in Florida', 'Category:American cuisine', 'Category:Cinemas and movie theaters in Florida', 'Category:Commons category link from Wikidata', 'Category:Coordinates on Wikidata', ""Category:Disney's Hollywood Studios"", 'Category:Drive-in restaurants', 'Category:Drive-in theatres', 'Category:Featured articles', 'Category:Restaurants established in 1991', 'Category:Retro style', 'Category:Theatres completed in 1991', 'Category:Use mdy dates from April 2017', 'Category:Walt Disney Parks and Resorts entertainment', 'Category:Walt Disney World restaurants']"
Suillus luteus;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Greek-language sources (el)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Spanish-language sources (es)', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1753', 'Category:Fungi found in fairy rings', 'Category:Fungi naturalized in Australia', 'Category:Fungi naturalized in North America', 'Category:Fungi of Africa', 'Category:Fungi of Asia', 'Category:Fungi of Central America', 'Category:Fungi of Europe', 'Category:Fungi of New Zealand', 'Category:Pages using multiple image with manual scaled images', 'Category:Suillus', 'Category:Taxa named by Carl Linnaeus', 'Category:Taxonbars with automatically added basionyms']"
Thomcord;"[""Category:Articles with 'species' microformats"", 'Category:Featured articles', 'Category:Hybrid grape varieties', 'Category:Table grape varieties']"
